model,threads,sgx,depth,trees,features,train_rows,train_time,test_rows,test_time,acc,f1
rf,2,0,3,128,28,7699999,62750245661,3300001,9774125686,0.639093745729168,0.6579919365547396
rf,2,0,3,128,28,7699999,62810614727,3300001,9787707458,0.639093745729168,0.6579919365547396
rf,2,0,3,128,28,7699999,62784325996,3300001,9711289417,0.639093745729168,0.6579919365547396
rf,2,0,3,128,28,7699999,62717650512,3300001,9679041265,0.639093745729168,0.6579919365547396
rf,1,1,3,128,28,7699999,194834725000,3300001,19784314000,0.639093745729168,0.6579919365547396
rf,1,1,3,128,28,7699999,195195491000,3300001,19760441000,0.639093745729168,0.6579919365547396
rf,1,1,3,128,28,7699999,199045940000,3300001,19708053000,0.639093745729168,0.6579919365547396
rf,1,1,3,128,28,7699999,199030578000,3300001,19707293000,0.639093745729168,0.6579919365547396
rf,1,1,3,128,28,7699999,199064662000,3300001,19999413000,0.639093745729168,0.6579919365547396
rf,1,0,3,128,28,7699999,119688755348,3300001,18986725779,0.639093745729168,0.6579919365547396
rf,1,0,3,128,28,7699999,118017334991,3300001,18994226848,0.639093745729168,0.6579919365547396
rf,1,0,3,128,28,7699999,117771894172,3300001,18976735546,0.639093745729168,0.6579919365547396
rf,1,0,3,128,28,7699999,117885624454,3300001,18987248478,0.639093745729168,0.6579919365547396
rf,1,0,3,128,28,7699999,117876713014,3300001,18982618615,0.639093745729168,0.6579919365547396
