model,threads,sgx,depth,trees,features,train_rows,train_time,test_rows,test_time,acc,f1
rf,4,1,3,64,28,7699999,41005898000,3300001,2817046000,0.6327555658316467,0.6487107307549012
rf,4,1,3,64,28,7699999,41072664000,3300001,2815397000,0.6327555658316467,0.6487107307549012
rf,4,0,3,64,28,7699999,30881606309,3300001,2827435369,0.6327555658316467,0.6487107307549012
rf,4,0,3,64,28,7699999,30725814385,3300001,2934052525,0.6327555658316467,0.6487107307549012
rf,4,0,3,64,28,7699999,30773543359,3300001,2888867985,0.6327555658316467,0.6487107307549012
rf,4,0,3,64,28,7699999,30934793013,3300001,2931177082,0.6327555658316467,0.6487107307549012
rf,2,1,3,64,28,7699999,76699147000,3300001,5207600000,0.6327555658316467,0.6487107307549012
rf,2,1,3,64,28,7699999,76650020000,3300001,5206578000,0.6327555658316467,0.6487107307549012
rf,2,1,3,64,28,7699999,76652003000,3300001,5202174000,0.6327555658316467,0.6487107307549012
rf,2,1,3,64,28,7699999,76661221000,3300001,5212265000,0.6327555658316467,0.6487107307549012
rf,2,0,3,64,28,7699999,58008231157,3300001,5202113705,0.6327555658316467,0.6487107307549012
rf,2,0,3,64,28,7699999,57907101330,3300001,5202424172,0.6327555658316467,0.6487107307549012
rf,2,0,3,64,28,7699999,57924255213,3300001,5205149399,0.6327555658316467,0.6487107307549012
rf,2,0,3,64,28,7699999,57921305056,3300001,5203184452,0.6327555658316467,0.6487107307549012
rf,1,1,3,64,28,7699999,154464762000,3300001,10085979000,0.6327555658316467,0.6487107307549012
rf,1,1,3,64,28,7699999,149674669000,3300001,10068584000,0.6327555658316467,0.6487107307549012
rf,1,1,3,64,28,7699999,149628986000,3300001,10048021000,0.6327555658316467,0.6487107307549012
rf,1,1,3,64,28,7699999,149701095000,3300001,10053044000,0.6327555658316467,0.6487107307549012
rf,1,0,3,64,28,7699999,111108836579,3300001,9742600730,0.6327555658316467,0.6487107307549012
rf,1,0,3,64,28,7699999,111285925987,3300001,9767855774,0.6327555658316467,0.6487107307549012
rf,1,0,3,64,28,7699999,111148520724,3300001,9746913357,0.6327555658316467,0.6487107307549012
rf,1,0,3,64,28,7699999,111425906528,3300001,10003382984,0.6327555658316467,0.6487107307549012
