model,num_threads,sgx,max_depth,n_estimators,columns,train_rows,train_time,test_rows,test_time,acc,f1
rf,1,1,None,1,28,3300000,35329420000,7700000,2509522000,0.7310937662337662,0.7310511990242167
rf,1,1,None,1,28,3300000,35332790000,7700000,2502774000,0.7310937662337662,0.7310511990242167
rf,1,0,None,1,28,3300000,14449437861,7700000,2849716409,0.7310937662337662,0.7310511990242167
rf,1,0,None,1,28,3300000,14363113829,7700000,2868557204,0.7310937662337662,0.7310511990242167
rf,1,0,None,1,28,3300000,14411528804,7700000,2810893518,0.7310937662337662,0.7310511990242167
rf,1,0,None,1,28,3300000,14367077379,7700000,2785859675,0.7310937662337662,0.7310511990242167
rf,1,0,None,1,28,3300000,14394000093,7700000,2807435575,0.7310937662337662,0.7310511990242167
rf,1,1,None,1,28,4400000,53311626000,6600000,2258702000,0.7579356060606061,0.7579056961142455
rf,1,1,None,1,28,4400000,51611903000,6600000,2264525000,0.7579356060606061,0.7579056961142455
rf,1,1,None,1,28,4400000,51608357000,6600000,2260631000,0.7579356060606061,0.7579056961142455
rf,1,1,None,1,28,4400000,51616723000,6600000,2236263000,0.7579356060606061,0.7579056961142455
rf,1,1,None,1,28,4400000,51592443000,6600000,2262428000,0.7579356060606061,0.7579056961142455
rf,1,0,None,1,28,4400000,19817012571,6600000,2462144798,0.7579356060606061,0.7579056961142455
rf,1,0,None,1,28,4400000,19708670705,6600000,2481077708,0.7579356060606061,0.7579056961142455
rf,1,0,None,1,28,4400000,19705753396,6600000,2463516759,0.7579356060606061,0.7579056961142455
rf,1,0,None,1,28,4400000,19749543959,6600000,2464373639,0.7579356060606061,0.7579056961142455
rf,1,0,None,1,28,4400000,19732133427,6600000,2453797281,0.7579356060606061,0.7579056961142455
rf,1,1,None,1,28,5500000,76095875000,5500000,1956478000,0.7804832727272727,0.7804445028001521
rf,1,1,None,1,28,5500000,75987562000,5500000,1954460000,0.7804832727272727,0.7804445028001521
rf,1,1,None,1,28,5500000,74598296000,5500000,1982662000,0.7804832727272727,0.7804445028001521
rf,1,1,None,1,28,5500000,74608052000,5500000,1984001000,0.7804832727272727,0.7804445028001521
rf,1,1,None,1,28,5500000,74596863000,5500000,1982946000,0.7804832727272727,0.7804445028001521
rf,1,0,None,1,28,5500000,25246238032,5500000,2068045333,0.7804832727272727,0.7804445028001521
rf,1,0,None,1,28,5500000,25354997675,5500000,2029766833,0.7804832727272727,0.7804445028001521
rf,1,0,None,1,28,5500000,25316485899,5500000,2029307456,0.7804832727272727,0.7804445028001521
rf,1,0,None,1,28,5500000,25218714619,5500000,2031276110,0.7804832727272727,0.7804445028001521
rf,1,0,None,1,28,5500000,25201102074,5500000,2030448757,0.7804832727272727,0.7804445028001521
rf,1,1,None,1,28,6600000,90693381000,4400000,1686912000,0.8012681818181818,0.801231328185034
rf,1,1,None,1,28,6600000,92527128000,4400000,1681896000,0.8012681818181818,0.801231328185034
rf,1,1,None,1,28,6600000,91889923000,4400000,1652512000,0.8012681818181818,0.801231328185034
rf,1,1,None,1,28,6600000,91872926000,4400000,1682842000,0.8012681818181818,0.801231328185034
rf,1,1,None,1,28,6600000,91859313000,4400000,1682107000,0.8012681818181818,0.801231328185034
rf,1,0,None,1,28,6600000,30293643201,4400000,1838201940,0.8012681818181818,0.801231328185034
rf,1,0,None,1,28,6600000,30356610322,4400000,1800114209,0.8012681818181818,0.801231328185034
rf,1,0,None,1,28,6600000,30442901098,4400000,1791731899,0.8012681818181818,0.801231328185034
rf,1,0,None,1,28,6600000,30429365582,4400000,1803736097,0.8012681818181818,0.801231328185034
rf,1,0,None,1,28,6600000,30299552141,4400000,1802392259,0.8012681818181818,0.801231328185034
