,function,sgx,num_trees,percent_spent
56,_ZN4daal10algorithms8internal5qSortIiLNS_7CpuTypeE6EEEvmPT_,1,16,0.0589
57,_ZN4daal10algorithms8internal5qSortIiLNS_7CpuTypeE6EEEvmPT_,1,32,0.0993
58,_ZN4daal10algorithms8internal5qSortIiLNS_7CpuTypeE6EEEvmPT_,1,64,0.1538
65,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,0,1,0.0239
66,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,0,2,0.0233
67,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,0,4,0.0226
68,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,0,8,0.0212
69,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,0,16,0.0187
70,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,0,32,0.0151
71,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,0,64,0.011
72,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1,1,0.0231
73,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1,2,0.0237
74,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1,4,0.0223
75,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1,8,0.0209
76,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1,16,0.0196
77,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1,32,0.0169
78,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1,64,0.0124
79,_ZN4daal15data_management8internal13computeSumSOAILNS_7CpuTypeE6EEEdRNS0_10interface112NumericTableERbRNS_8services10interface16StatusE,0,1,0.0114
80,_ZN4daal15data_management8internal13computeSumSOAILNS_7CpuTypeE6EEEdRNS0_10interface112NumericTableERbRNS_8services10interface16StatusE,0,2,0.0111
81,_ZN4daal15data_management8internal13computeSumSOAILNS_7CpuTypeE6EEEdRNS0_10interface112NumericTableERbRNS_8services10interface16StatusE,0,4,0.0107
82,_ZN4daal15data_management8internal13computeSumSOAILNS_7CpuTypeE6EEEdRNS0_10interface112NumericTableERbRNS_8services10interface16StatusE,0,8,0.0101
87,_ZN4daal15data_management8internal20vectorConvertFuncCpuIxdLNS_7CpuTypeE6EEEvmPKvPv,0,32,0.0113
88,_ZN4daal15data_management8internal20vectorConvertFuncCpuIxdLNS_7CpuTypeE6EEEvmPKvPv,0,64,0.0164
92,_ZNK4daal10algorithms15decision_forest14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS4_23UnorderedRespHelperBestIdLS6_6EEEE25findSplitForFeatureSortedIhEEiPdiPKimmRKNS8_12ImpurityDataERNS0_6dtrees8training8internal9SplitDataIdSE_EEddPKT_,0,4,0.0183
93,_ZNK4daal10algorithms15decision_forest14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS4_23UnorderedRespHelperBestIdLS6_6EEEE25findSplitForFeatureSortedIhEEiPdiPKimmRKNS8_12ImpurityDataERNS0_6dtrees8training8internal9SplitDataIdSE_EEddPKT_,0,8,0.032
94,_ZNK4daal10algorithms15decision_forest14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS4_23UnorderedRespHelperBestIdLS6_6EEEE25findSplitForFeatureSortedIhEEiPdiPKimmRKNS8_12ImpurityDataERNS0_6dtrees8training8internal9SplitDataIdSE_EEddPKT_,0,16,0.0589
95,_ZNK4daal10algorithms15decision_forest14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS4_23UnorderedRespHelperBestIdLS6_6EEEE25findSplitForFeatureSortedIhEEiPdiPKimmRKNS8_12ImpurityDataERNS0_6dtrees8training8internal9SplitDataIdSE_EEddPKT_,0,32,0.1001
96,_ZNK4daal10algorithms15decision_forest14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS4_23UnorderedRespHelperBestIdLS6_6EEEE25findSplitForFeatureSortedIhEEiPdiPKimmRKNS8_12ImpurityDataERNS0_6dtrees8training8internal9SplitDataIdSE_EEddPKT_,0,64,0.1422
98,_ZNK4daal10algorithms15decision_forest14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS4_23UnorderedRespHelperBestIdLS6_6EEEE25findSplitForFeatureSortedIhEEiPdiPKimmRKNS8_12ImpurityDataERNS0_6dtrees8training8internal9SplitDataIdSE_EEddPKT_,1,2,0.0134
99,_ZNK4daal10algorithms15decision_forest14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS4_23UnorderedRespHelperBestIdLS6_6EEEE25findSplitForFeatureSortedIhEEiPdiPKimmRKNS8_12ImpurityDataERNS0_6dtrees8training8internal9SplitDataIdSE_EEddPKT_,1,4,0.0255
100,_ZNK4daal10algorithms15decision_forest14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS4_23UnorderedRespHelperBestIdLS6_6EEEE25findSplitForFeatureSortedIhEEiPdiPKimmRKNS8_12ImpurityDataERNS0_6dtrees8training8internal9SplitDataIdSE_EEddPKT_,1,8,0.0472
101,_ZNK4daal10algorithms15decision_forest14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS4_23UnorderedRespHelperBestIdLS6_6EEEE25findSplitForFeatureSortedIhEEiPdiPKimmRKNS8_12ImpurityDataERNS0_6dtrees8training8internal9SplitDataIdSE_EEddPKT_,1,16,0.0938
102,_ZNK4daal10algorithms15decision_forest14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS4_23UnorderedRespHelperBestIdLS6_6EEEE25findSplitForFeatureSortedIhEEiPdiPKimmRKNS8_12ImpurityDataERNS0_6dtrees8training8internal9SplitDataIdSE_EEddPKT_,1,32,0.1482
103,_ZNK4daal10algorithms15decision_forest14classification8training8internal14RespHelperBaseIdLNS_7CpuTypeE6ENS4_23UnorderedRespHelperBestIdLS6_6EEEE25findSplitForFeatureSortedIhEEiPdiPKimmRKNS8_12ImpurityDataERNS0_6dtrees8training8internal9SplitDataIdSE_EEddPKT_,1,64,0.2281
104,__memmove_evex_unaligned_erms,0,1,0.0298
105,__memmove_evex_unaligned_erms,0,2,0.03
106,__memmove_evex_unaligned_erms,0,4,0.0282
107,__memmove_evex_unaligned_erms,0,8,0.0265
108,__memmove_evex_unaligned_erms,0,16,0.0234
109,__memmove_evex_unaligned_erms,0,32,0.0187
110,__memmove_evex_unaligned_erms,0,64,0.0137
111,__memmove_evex_unaligned_erms,1,1,0.0132
112,__memmove_evex_unaligned_erms,1,2,0.0124
113,__memmove_evex_unaligned_erms,1,4,0.0103
114,__memmove_evex_unaligned_erms,1,8,0.0128
119,kernel_func,0,1,0.0636
120,kernel_func,0,2,0.0558
121,kernel_func,0,4,0.0533
122,kernel_func,0,8,0.0501
123,kernel_func,0,16,0.038400000000000004
124,kernel_func,0,32,0.031
125,kernel_func,0,64,0.0189
126,kernel_func,1,1,0.0301
127,kernel_func,1,2,0.0285
128,kernel_func,1,4,0.0305
129,kernel_func,1,8,0.0219
130,kernel_func,1,16,0.02
131,kernel_func,1,32,0.0171
132,kernel_func,1,64,0.0127
133,mbedtls_internal_sha256_process,1,1,0.0168
134,mbedtls_internal_sha256_process,1,2,0.0157
135,mbedtls_internal_sha256_process,1,4,0.0154
136,mbedtls_internal_sha256_process,1,8,0.0139
137,mbedtls_internal_sha256_process,1,16,0.0129
138,mbedtls_internal_sha256_process,1,32,0.0107
140,memcpy,1,1,0.0818
141,memcpy,1,2,0.0837
142,memcpy,1,4,0.0808
143,memcpy,1,8,0.0776
144,memcpy,1,16,0.0689
145,memcpy,1,32,0.0593
146,memcpy,1,64,0.0422
147,memset,1,1,0.2923
148,memset,1,2,0.2787
149,memset,1,4,0.2762
150,memset,1,8,0.2676
151,memset,1,16,0.2407
152,memset,1,32,0.2087
153,memset,1,64,0.1651
154,precise_xstrtod,0,1,0.1805
155,precise_xstrtod,0,2,0.1778
156,precise_xstrtod,0,4,0.1715
157,precise_xstrtod,0,8,0.1608
158,precise_xstrtod,0,16,0.142
159,precise_xstrtod,0,32,0.1144
160,precise_xstrtod,0,64,0.0836
161,precise_xstrtod,1,1,0.0855
162,precise_xstrtod,1,2,0.0872
163,precise_xstrtod,1,4,0.0848
164,precise_xstrtod,1,8,0.081
165,precise_xstrtod,1,16,0.0715
166,precise_xstrtod,1,32,0.0593
167,precise_xstrtod,1,64,0.0467
168,sgx_copy_to_enclave_verified,1,1,0.0542
169,sgx_copy_to_enclave_verified,1,2,0.0551
170,sgx_copy_to_enclave_verified,1,4,0.0529
171,sgx_copy_to_enclave_verified,1,8,0.0503
172,sgx_copy_to_enclave_verified,1,16,0.0459
173,sgx_copy_to_enclave_verified,1,32,0.0362
174,sgx_copy_to_enclave_verified,1,64,0.0298
175,tokenize_bytes,0,1,0.2722
176,tokenize_bytes,0,2,0.2671
177,tokenize_bytes,0,4,0.2585
178,tokenize_bytes,0,8,0.2421
179,tokenize_bytes,0,16,0.2137
180,tokenize_bytes,0,32,0.1722
181,tokenize_bytes,0,64,0.1258
182,tokenize_bytes,1,1,0.1338
183,tokenize_bytes,1,2,0.1353
184,tokenize_bytes,1,4,0.1283
185,tokenize_bytes,1,8,0.1259
186,tokenize_bytes,1,16,0.1095
187,tokenize_bytes,1,32,0.095
188,tokenize_bytes,1,64,0.0757
